# FaultStick File From SMI
# ====================================
# X  .m
# Y  .m
# T  .m
# FaultStick Start End Sign
# FaultName
# inline
# xline
# ====================================
# ~Values
  573012.500    4207065.341       2202.600   1                    F01   1530   2550
  573012.500    4206586.221       2477.000   2                    F01   1530   2512
  573012.500    4206061.569       2756.400   2                    F01   1530   2470
  573012.500    4205511.432       2993.800   2                    F01   1530   2426
  573012.500    4204556.933       3263.400   2                    F01   1530   2350
  573012.500    4203577.630       3545.000   2                    F01   1530   2271
  573012.500    4203140.304       3670.200   2                    F01   1530   2236
  573012.500    4202806.961       3765.800   3                    F01   1530   2210
  573262.500    4207032.040       2403.800   1                    F01   1550   2548
  573262.500    4206723.840       2585.000   2                    F01   1550   2523
  573262.500    4206244.381       2773.600   2                    F01   1550   2485
  573262.500    4205819.293       2964.800   2                    F01   1550   2451
  573262.500    4205432.260       3101.800   2                    F01   1550   2420
  573262.500    4204886.200       3305.200   2                    F01   1550   2376
  573262.500    4204469.604       3422.800   2                    F01   1550   2343
  573262.500    4203744.470       3660.400   2                    F01   1550   2285
  573262.500    4203390.399       3743.800   2                    F01   1550   2256
  573262.500    4203161.370       3800.000   3                    F01   1550   2238
  573512.500    4208936.282       1149.400   1                    F01   1570   2700
  573512.500    4208619.589       1372.400   2                    F01   1570   2675
  573512.500    4208411.291       1519.400   2                    F01   1570   2658
  573512.500    4208140.472       1693.200   2                    F01   1570   2636
  573512.500    4207978.045       1808.400   2                    F01   1570   2623
  573512.500    4207715.381       2021.400   2                    F01   1570   2602
  573512.500    4207261.407       2332.600   2                    F01   1570   2566
  573512.500    4206836.316       2589.800   2                    F01   1570   2532
  573512.500    4206453.021       2810.400   2                    F01   1570   2501
  573512.500    4206115.597       2994.000   2                    F01   1570   2474
  573512.500    4205757.107       3143.400   2                    F01   1570   2446
  573512.500    4205031.976       3368.800   2                    F01   1570   2388
  573512.500    4204594.653       3493.800   2                    F01   1570   2353
  573512.500    4204123.687       3618.800   2                    F01   1570   2315
  573512.500    4203548.745       3763.200   3                    F01   1570   2269
  574012.500    4209123.852       1159.200   1                    F01   1610   2715
  574012.500    4208927.789       1330.800   2                    F01   1610   2699
  574012.500    4208761.285       1482.600   2                    F01   1610   2686
  574012.500    4208544.491       1698.200   2                    F01   1610   2669
  574012.500    4208265.515       1945.600   2                    F01   1610   2646
  574012.500    4207965.472       2178.200   2                    F01   1610   2622
  574012.500    4207586.255       2457.600   2                    F01   1610   2592
  574012.500    4207319.513       2609.400   2                    F01   1610   2571
  574012.500    4206965.442       2776.000   2                    F01   1610   2542
  574012.500    4206673.889       2918.000   2                    F01   1610   2519
  574012.500    4206327.972       3011.200   2                    F01   1610   2491
  574012.500    4205857.010       3175.400   2                    F01   1610   2454
  574012.500    4205303.134       3322.400   2                    F01   1610   2409
  574012.500    4204719.699       3481.600   2                    F01   1610   2363
  574012.500    4204219.513       3633.400   2                    F01   1610   2323
  574012.500    4203648.986       3775.600   3                    F01   1610   2277
  573762.500    4209186.377       1142.000   1                    F01   1590   2720
  573762.500    4208932.205       1330.800   2                    F01   1590   2700
  573762.500    4208678.033       1541.400   2                    F01   1590   2679
  573762.500    4208415.368       1769.200   2                    F01   1590   2658
  573762.500    4208132.312       1972.600   2                    F01   1590   2636
  573762.500    4207886.297       2158.800   2                    F01   1590   2616
  573762.500    4207357.229       2455.200   2                    F01   1590   2574
  573762.500    4207015.390       2658.400   2                    F01   1590   2546
  573762.500    4206423.797       2925.600   2                    F01   1590   2499
  573762.500    4206086.377       3097.000   2                    F01   1590   2472
  573762.500    4205344.592       3310.000   2                    F01   1590   2413
  573762.500    4204802.948       3432.600   2                    F01   1590   2369
  573762.500    4204261.306       3562.400   2                    F01   1590   2326
  573762.500    4203819.568       3694.600   2                    F01   1590   2291
  573762.500    4203627.917       3751.000   3                    F01   1590   2275
  573887.500    4209177.881       1137.200   1                    F01   1600   2719
  573887.500    4208961.428       1303.800   2                    F01   1600   2702
  573887.500    4208757.208       1497.200   2                    F01   1600   2686
  573887.500    4208527.844       1700.600   2                    F01   1600   2667
  573887.500    4208319.543       1891.600   2                    F01   1600   2651
  573887.500    4208094.598       2068.000   2                    F01   1600   2633
  573887.500    4207807.122       2259.200   2                    F01   1600   2610
  573887.500    4207465.286       2479.600   2                    F01   1600   2582
  573887.500    4206952.868       2753.800   2                    F01   1600   2541
  573887.500    4206578.067       2915.600   2                    F01   1600   2511
  573887.500    4206215.500       3045.400   2                    F01   1600   2482
  573887.500    4205836.282       3175.400   2                    F01   1600   2452
  573887.500    4205182.165       3356.600   2                    F01   1600   2400
  573887.500    4204552.856       3511.000   2                    F01   1600   2349
  573887.500    4204128.106       3633.400   2                    F01   1600   2315
  573887.500    4203653.064       3790.200   3                    F01   1600   2277
  574137.500    4209294.433       1132.200   1                    F01   1620   2729
  574137.500    4209086.132       1245.000   2                    F01   1620   2712
  574137.500    4208923.709       1374.800   2                    F01   1620   2699
  574137.500    4208752.789       1519.400   2                    F01   1620   2685
  574137.500    4208536.337       1739.800   2                    F01   1620   2668
  574137.500    4208323.620       1984.800   2                    F01   1620   2651
  574137.500    4208065.374       2173.400   2                    F01   1620   2630
  574137.500    4207781.979       2349.800   2                    F01   1620   2608
  574137.500    4207611.401       2462.400   2                    F01   1620   2594
