TraceIdx,X,Y
1140349,565875,4201212
1140350,565875,4201225
1140351,565875,4201237
1140352,565875,4201250
1140353,565875,4201262
1140354,565875,4201275
1140355,565875,4201287
1140356,565875,4201300
1140357,565875,4201312
1140358,565875,4201325
1140359,565875,4201337
1140360,565875,4201350
1140361,565875,4201362
1140362,565875,4201375
1140363,565875,4201387
1140364,565875,4201400
1140365,565875,4201412
1140366,565875,4201425
1140367,565875,4201437
1140368,565875,4201450
1140369,565875,4201462
1140370,565875,4201475
1141811,565887,4201175
1141812,565887,4201187
1141813,565887,4201200
1141814,565887,4201212
1141815,565887,4201225
1141816,565887,4201237
1141817,565887,4201250
1141818,565887,4201262
1141819,565887,4201275
1141820,565887,4201287
1141821,565887,4201300
1141822,565887,4201312
1141823,565887,4201325
1141824,565887,4201337
1141825,565887,4201350
1141826,565887,4201362
1141827,565887,4201375
1141828,565887,4201387
1141829,565887,4201400
1141830,565887,4201412
1141831,565887,4201425
1141832,565887,4201437
1141833,565887,4201450
1141834,565887,4201462
1141835,565887,4201475
1143276,565900,4201175
1143277,565900,4201187
1143278,565900,4201200
1143279,565900,4201212
1143280,565900,4201225
1143281,565900,4201237
1143282,565900,4201250
1143283,565900,4201262
1143284,565900,4201275
1143285,565900,4201287
1143286,565900,4201300
1143287,565900,4201312
1143288,565900,4201325
1143289,565900,4201337
1143290,565900,4201350
1143291,565900,4201362
1143292,565900,4201375
1143293,565900,4201387
1143294,565900,4201400
1143295,565900,4201412
1143296,565900,4201425
1143297,565900,4201437
1143298,565900,4201450
1143299,565900,4201462
1143300,565900,4201475
1144741,565912,4201175
1144742,565912,4201187
1144743,565912,4201200
1144744,565912,4201212
1144745,565912,4201225
1144746,565912,4201237
1144747,565912,4201250
1144748,565912,4201262
1144749,565912,4201275
1144750,565912,4201287
1144751,565912,4201300
1144752,565912,4201312
1144753,565912,4201325
1144754,565912,4201337
1144755,565912,4201350
1144756,565912,4201362
1144757,565912,4201375
1144758,565912,4201387
1144759,565912,4201400
1144760,565912,4201412
1144761,565912,4201425
1144762,565912,4201437
1144763,565912,4201450
1144764,565912,4201462
1144765,565912,4201475
1146206,565925,4201175
1146207,565925,4201187
1146208,565925,4201200
1146209,565925,4201212
1146210,565925,4201225
1146211,565925,4201237
1146212,565925,4201250
1146213,565925,4201262
1146214,565925,4201275
1146215,565925,4201287
1146216,565925,4201300
1146217,565925,4201312
1146218,565925,4201325
1146219,565925,4201337
1146220,565925,4201350
1146221,565925,4201362
1146222,565925,4201375
1146223,565925,4201387
1146224,565925,4201400
1146225,565925,4201412
1146226,565925,4201425
1146227,565925,4201437
1146228,565925,4201450
1146229,565925,4201462
1146230,565925,4201475
1147671,565937,4201175
1147672,565937,4201187
1147673,565937,4201200
1147674,565937,4201212
1147675,565937,4201225
1147676,565937,4201237
1147677,565937,4201250
1147678,565937,4201262
1147679,565937,4201275
1147680,565937,4201287
1147681,565937,4201300
1147682,565937,4201312
1147683,565937,4201325
1147684,565937,4201337
1147685,565937,4201350
1147686,565937,4201362
1147687,565937,4201375
1147688,565937,4201387
1147689,565937,4201400
1147690,565937,4201412
1147691,565937,4201425
1147692,565937,4201437
1147693,565937,4201450
1147694,565937,4201462
1147695,565937,4201475
1149136,565950,4201175
1149137,565950,4201187
1149138,565950,4201200
1149139,565950,4201212
1149140,565950,4201225
1149141,565950,4201237
1149142,565950,4201250
1149143,565950,4201262
1149144,565950,4201275
1149145,565950,4201287
1149146,565950,4201300
1149147,565950,4201312
1149148,565950,4201325
1149149,565950,4201337
1149150,565950,4201350
1149151,565950,4201362
1149152,565950,4201375
1149153,565950,4201387
1149154,565950,4201400
1149155,565950,4201412
1149156,565950,4201425
1149157,565950,4201437
1149158,565950,4201450
1149159,565950,4201462
1149160,565950,4201475
1150601,565962,4201175
1150602,565962,4201187
1150603,565962,4201200
1150604,565962,4201212
1150605,565962,4201225
1150606,565962,4201237
1150607,565962,4201250
1150608,565962,4201262
1150609,565962,4201275
1150610,565962,4201287
1150611,565962,4201300
1150612,565962,4201312
1150613,565962,4201325
1150614,565962,4201337
1150615,565962,4201350
1150616,565962,4201362
1150617,565962,4201375
1150618,565962,4201387
1150619,565962,4201400
1150620,565962,4201412
1150621,565962,4201425
1150622,565962,4201437
1150623,565962,4201450
1150624,565962,4201462
1150625,565962,4201475
1152066,565975,4201175
1152067,565975,4201187
