X,Y
571080.0,4195715.0
576866.0,4203344.0
577641.44,4202865.5
578086.0,4202439.0
571008.75,4196900.5
566870.0,4199472.5
569046.0,4195094.0
574506.0,4197408.5
566456.0,4201615.0
578244.0,4199417.5
576056.0,4199219.5
577068.0,4201059.0
579756.0,4200335.5
579660.0,4195477.5
580992.94,4207945.5
566360.0,4196105.0
561516.0,4202888.0
560540.0,4200331.0
565790.0,4197347.0
579546.0,4198373.5
577650.0,4196976.0
581508.0,4201113.0
580526.0,4199015.0
576594.0,4197927.0
573608.0,4195541.0
577100.0,4197496.0
576798.0,4194693.0
575452.0,4200551.0
575552.0,4201889.0
571567.3,4200044.0
573756.0,4197348.5
570748.0,4202612.0
571002.0,4203551.0
571252.0,4202608.0
571812.0,4203818.0
575246.0,4205567.0
569066.0,4201556.0
571226.0,4201179.5
568924.0,4202778.5
564668.0,4200394.0
567226.9,4200902.5
568936.0,4200360.0
581020.0,4203973.0
562750.0,4197866.5
564108.0,4202074.0
580903.3,4208821.0
576932.0,4204342.0
576054.0,4201850.0
577606.0,4200343.5
560400.0,4195971.0
592331.0,4212564.0
592350.0,4210905.0
590100.0,4212075.0
576979.25,4202636.5
576979.2,4202636.5
576979.1,4202636.5
576979.06,4202636.5
576979.0,4202636.5
576978.94,4202636.5
576978.94,4202636.0
576978.9,4202636.0
576978.8,4202636.0
576978.75,4202636.0
576978.7,4202636.0
576978.6,4202636.0
576978.56,4202636.0
576978.5,4202636.0
576978.44,4202636.0
576978.4,4202636.0
576978.3,4202636.0
576978.25,4202636.0
576978.2,4202636.0
576978.1,4202636.0
576978.06,4202636.0
576978.0,4202636.0
576977.94,4202636.0
576977.9,4202636.0
576977.8,4202636.0
576977.75,4202636.0
576977.75,4202635.5
576977.7,4202635.5
576977.6,4202635.5
576977.56,4202635.5
576977.5,4202635.5
576977.44,4202635.5
576977.4,4202635.5
576977.3,4202635.5
576977.25,4202635.5
576977.2,4202635.5
576977.1,4202635.5
576977.06,4202635.5
576977.0,4202635.5
576976.94,4202635.5
576976.9,4202635.5
576976.8,4202635.5
576976.75,4202635.5
576976.7,4202635.5
576976.6,4202635.5
576976.56,4202635.5
576976.5,4202635.5
576976.44,4202635.5
576976.4,4202635.5
576976.3,4202635.5
576976.25,4202635.5
576976.2,4202635.5
576976.1,4202635.5
576976.06,4202635.5
576976.06,4202636.0
576976.0,4202636.0
576975.94,4202636.0
576975.9,4202636.0
576975.8,4202636.0
576975.75,4202636.0
576975.7,4202636.0
576975.7,4202636.5
576975.6,4202636.5
576975.56,4202636.5
576975.5,4202636.5
576975.44,4202636.5
576975.4,4202636.5
576975.3,4202636.5
576975.3,4202637.0
576975.25,4202637.0
576975.2,4202637.0
576975.1,4202637.0
576975.06,4202637.0
576975.0,4202637.0
576975.0,4202637.5
576974.94,4202637.5
576974.9,4202637.5
576974.8,4202637.5
576974.75,4202637.5
576974.7,4202637.5
576974.6,4202637.5
576974.6,4202638.0
576974.56,4202638.0
576974.5,4202638.0
576974.44,4202638.0
576974.4,4202638.0
