x,count
556150,1465
556162,1465
556175,1465
556187,1465
556200,1465
556212,1465
556225,1465
556237,1465
556250,1465
556262,1465
556275,1465
556287,1465
556300,1465
556312,1465
556325,1465
556337,1465
556350,1465
556362,1465
556375,1465
556387,1465
556400,1465
556412,1465
556425,1465
556437,1465
556450,1465
556462,1465
556475,1465
556487,1465
556500,1465
556512,1465
556525,1465
556537,1465
556550,1465
556562,1465
556575,1465
556587,1465
556600,1465
556612,1465
556625,1465
556637,1465
556650,1465
556662,1465
556675,1465
556687,1465
556700,1465
556712,1465
556725,1465
556737,1465
556750,1465
556762,1465
556775,1465
556787,1465
556800,1465
556812,1465
556825,1465
556837,1465
556850,1465
556862,1465
556875,1465
556887,1465
556900,1465
556912,1465
556925,1465
556937,1465
556950,1465
556962,1465
556975,1465
556987,1465
557000,1465
557012,1465
557025,1465
557037,1465
557050,1465
557062,1465
557075,1465
557087,1465
557100,1465
557112,1465
557125,1465
557137,1465
557150,1465
557162,1465
557175,1465
557187,1465
557200,1465
557212,1465
557225,1465
557237,1465
557250,1465
557262,1465
557275,1465
557287,1465
557300,1465
557312,1465
557325,1465
557337,1465
557350,1465
557362,1465
557375,1465
557387,1465
557400,1465
557412,1465
557425,1465
557437,1465
557450,1465
557462,1465
557475,1465
557487,1465
557500,1465
557512,1465
557525,1465
557537,1465
557550,1465
557562,1465
557575,1465
557587,1465
557600,1465
557612,1465
557625,1465
557637,1465
557650,1465
557662,1465
557675,1465
557687,1465
557700,1465
557712,1465
557725,1465
557737,1465
557750,1465
557762,1465
557775,1465
557787,1465
557800,1465
557812,1465
557825,1465
557837,1465
557850,1465
557862,1465
557875,1465
557887,1465
557900,1465
557912,1465
557925,1465
557937,1465
557950,1465
557962,1465
557975,1465
557987,1465
558000,1465
558012,1465
558025,1465
558037,1465
558050,1465
558062,1465
558075,1465
558087,1465
558100,1465
558112,1465
558125,1465
558137,1465
558150,1465
558162,1465
558175,1465
558187,1465
558200,1465
558212,1465
558225,1465
558237,1465
558250,1465
558262,1465
558275,1465
558287,1465
558300,1465
558312,1465
558325,1465
558337,1465
558350,1465
558362,1465
558375,1465
558387,1465
558400,1465
558412,1465
558425,1465
558437,1465
558450,1465
558462,1465
558475,1465
558487,1465
558500,1465
558512,1465
558525,1465
558537,1465
558550,1465
558562,1465
558575,1465
558587,1465
558600,1465
558612,1465
558625,1465
558637,1465
558650,1465
558662,1465
558675,1465
558687,1465
558700,1465
558712,1465
558725,1465
558737,1465
558750,1465
558762,1465
558775,1465
558787,1465
558800,1465
558812,1465
558825,1465
558837,1465
558850,1465
558862,1465
558875,1465
558887,1465
558900,1465
558912,1465
558925,1465
558937,1465
558950,1465
558962,1465
558975,1465
558987,1465
559000,1465
559012,1465
559025,1465
559037,1465
559050,1465
559062,1465
559075,1465
559087,1465
559100,1465
559112,1465
559125,1465
559137,1465
559150,1465
559162,1465
559175,1465
559187,1465
559200,1465
559212,1465
559225,1465
559237,1465
559250,1465
559262,1465
559275,1465
559287,1465
559300,1465
559312,1465
559325,1465
559337,1465
559350,1465
559362,1465
559375,1465
559387,1465
559400,1465
559412,1465
559425,1465
559437,1465
559450,1465
559462,1465
559475,1465
559487,1465
559500,1465
559512,1465
559525,1465
559537,1465
559550,1465
559562,1465
559575,1465
559587,1465
559600,1465
559612,1465
559625,1465
559637,1465
559650,1465
559662,1465
559675,1465
559687,1465
559700,1465
559712,1465
559725,1465
559737,1465
559750,1465
559762,1465
559775,1465
559787,1465
559800,1465
559812,1465
559825,1465
559837,1465
559850,1465
559862,1465
559875,1465
559887,1465
559900,1465
559912,1465
559925,1465
559937,1465
559950,1465
559962,1465
559975,1465
559987,1465
560000,1465
560012,1465
560025,1465
560037,1465
560050,1465
560062,1465
560075,1465
560087,1465
560100,1465
560112,1465
560125,1465
560137,1465
560150,1465
560162,1465
560175,1465
560187,1465
560200,1465
560212,1465
560225,1465
560237,1465
560250,1465
560262,1465
560275,1465
560287,1465
560300,1465
560312,1465
560325,1465
560337,1465
560350,1465
560362,1465
560375,1465
560387,1465
560400,1465
560412,1465
560425,1465
560437,1465
560450,1465
560462,1465
560475,1465
560487,1465
560500,1465
560512,1465
560525,1465
560537,1465
560550,1465
560562,1465
560575,1465
560587,1465
560600,1465
560612,1465
560625,1465
560637,1465
560650,1465
560662,1465
560675,1465
560687,1465
560700,1465
560712,1465
560725,1465
560737,1465
560750,1465
560762,1465
560775,1465
560787,1465
560800,1465
560812,1465
560825,1465
560837,1465
560850,1465
560862,1465
560875,1465
560887,1465
560900,1465
560912,1465
560925,1465
560937,1465
560950,1465
560962,1465
560975,1465
560987,1465
561000,1465
561012,1465
561025,1465
561037,1465
561050,1465
561062,1465
561075,1465
561087,1465
561100,1465
561112,1465
561125,1465
561137,1465
561150,1465
561162,1465
561175,1465
561187,1465
561200,1465
561212,1465
561225,1465
561237,1465
561250,1465
561262,1465
561275,1465
561287,1465
561300,1465
561312,1465
561325,1465
561337,1465
561350,1465
561362,1465
561375,1465
561387,1465
561400,1465
561412,1465
561425,1465
561437,1465
561450,1465
561462,1465
561475,1465
561487,1465
561500,1465
561512,1465
561525,1465
561537,1465
561550,1465
561562,1465
561575,1465
561587,1465
561600,1465
561612,1465
561625,1465
561637,1465
561650,1465
561662,1465
561675,1465
561687,1465
561700,1465
561712,1465
561725,1465
561737,1465
561750,1465
561762,1465
561775,1465
561787,1465
561800,1465
561812,1465
561825,1465
561837,1465
561850,1465
561862,1465
561875,1465
561887,1465
561900,1465
561912,1465
561925,1465
561937,1465
561950,1465
561962,1465
561975,1465
561987,1465
562000,1465
562012,1465
562025,1465
562037,1465
562050,1465
562062,1465
562075,1465
562087,1465
562100,1465
562112,1465
562125,1465
562137,1465
562150,1465
562162,1465
562175,1465
562187,1465
562200,1465
562212,1465
562225,1465
562237,1465
562250,1465
562262,1465
562275,1465
562287,1465
562300,1465
562312,1465
562325,1465
562337,1465
562350,1465
562362,1465
562375,1465
562387,1465
562400,1465
562412,1465
562425,1465
562437,1465
562450,1465
562462,1465
562475,1465
562487,1465
562500,1465
562512,1465
562525,1465
562537,1465
562550,1465
562562,1465
562575,1465
562587,1465
562600,1465
562612,1465
562625,1465
562637,1465
562650,1465
562662,1465
562675,1465
562687,1465
562700,1465
562712,1465
562725,1465
562737,1465
562750,1465
562762,1465
562775,1465
562787,1465
562800,1465
562812,1465
562825,1465
562837,1465
562850,1465
562862,1465
562875,1465
562887,1465
562900,1465
562912,1465
562925,1465
562937,1465
562950,1465
562962,1465
562975,1465
562987,1465
563000,1465
563012,1465
563025,1465
563037,1465
563050,1465
563062,1465
563075,1465
563087,1465
563100,1465
563112,1465
563125,1465
563137,1465
563150,1465
563162,1465
563175,1465
563187,1465
563200,1465
563212,1465
563225,1465
563237,1465
563250,1465
563262,1465
563275,1465
563287,1465
563300,1465
563312,1465
563325,1465
563337,1465
563350,1465
563362,1465
563375,1465
563387,1465
563400,1465
563412,1465
563425,1465
563437,1465
563450,1465
563462,1465
563475,1465
563487,1465
563500,1465
563512,1465
563525,1465
563537,1465
563550,1465
563562,1465
563575,1465
563587,1465
563600,1465
563612,1465
563625,1465
563637,1465
563650,1465
563662,1465
563675,1465
563687,1465
563700,1465
563712,1465
563725,1465
563737,1465
563750,1465
563762,1465
563775,1465
563787,1465
563800,1465
563812,1465
563825,1465
563837,1465
563850,1465
563862,1465
563875,1465
563887,1465
563900,1465
563912,1465
563925,1465
563937,1465
563950,1465
563962,1465
563975,1465
563987,1465
564000,1465
564012,1465
564025,1465
564037,1465
564050,1465
564062,1465
564075,1465
564087,1465
564100,1465
564112,1465
564125,1465
564137,1465
564150,1465
564162,1465
564175,1465
564187,1465
564200,1465
564212,1465
564225,1465
564237,1465
564250,1465
564262,1465
564275,1465
564287,1465
564300,1465
564312,1465
564325,1465
564337,1465
564350,1465
564362,1465
564375,1465
564387,1465
564400,1465
564412,1465
564425,1465
564437,1465
564450,1465
564462,1465
564475,1465
564487,1465
564500,1465
564512,1465
564525,1465
564537,1465
564550,1465
564562,1465
564575,1465
564587,1465
564600,1465
564612,1465
564625,1465
564637,1465
564650,1465
564662,1465
564675,1465
564687,1465
564700,1465
564712,1465
564725,1465
564737,1465
564750,1465
564762,1465
564775,1465
564787,1465
564800,1465
564812,1465
564825,1465
564837,1465
564850,1465
564862,1465
564875,1465
564887,1465
564900,1465
564912,1465
564925,1465
564937,1465
564950,1465
564962,1465
564975,1465
564987,1465
565000,1465
565012,1465
565025,1465
565037,1465
565050,1465
565062,1465
565075,1465
565087,1465
565100,1465
565112,1465
565125,1465
565137,1465
565150,1465
565162,1465
565175,1465
565187,1465
565200,1465
565212,1465
565225,1465
565237,1465
565250,1465
565262,1465
565275,1465
565287,1465
565300,1465
565312,1465
565325,1465
565337,1465
565350,1465
565362,1465
565375,1465
565387,1465
565400,1465
565412,1465
565425,1465
565437,1465
565450,1465
565462,1465
565475,1465
565487,1465
565500,1465
565512,1465
565525,1465
565537,1465
565550,1465
565562,1465
565575,1465
565587,1465
565600,1465
565612,1465
565625,1465
565637,1465
565650,1465
565662,1465
565675,1465
565687,1465
565700,1465
565712,1465
565725,1465
565737,1465
565750,1465
565762,1465
565775,1465
565787,1465
565800,1465
565812,1465
565825,1465
565837,1465
565850,1465
565862,1465
565875,1465
565887,1465
565900,1465
565912,1465
565925,1465
565937,1465
565950,1465
565962,1465
565975,1465
565987,1465
566000,1465
566012,1465
566025,1465
566037,1465
566050,1465
566062,1465
566075,1465
566087,1465
566100,1465
566112,1465
566125,1465
566137,1465
566150,1465
566162,1465
566175,1465
566187,1465
566200,1465
566212,1465
566225,1465
566237,1465
566250,1465
566262,1465
566275,1465
566287,1465
566300,1465
566312,1465
566325,1465
566337,1465
566350,1465
566362,1465
566375,1465
566387,1465
566400,1465
566412,1465
566425,1465
566437,1465
566450,1465
566462,1465
566475,1465
566487,1465
566500,1465
566512,1465
566525,1465
566537,1465
566550,1465
566562,1465
566575,1465
566587,1465
566600,1465
566612,1465
566625,1465
566637,1465
566650,1465
566662,1465
566675,1465
566687,1465
566700,1465
566712,1465
566725,1465
566737,1465
566750,1465
566762,1465
566775,1465
566787,1465
566800,1465
566812,1465
566825,1465
566837,1465
566850,1465
566862,1465
566875,1465
566887,1465
566900,1465
566912,1465
566925,1465
566937,1465
566950,1465
566962,1465
566975,1465
566987,1465
567000,1465
567012,1465
567025,1465
567037,1465
567050,1465
567062,1465
567075,1465
567087,1465
567100,1465
567112,1465
567125,1465
567137,1465
567150,1465
567162,1465
567175,1465
567187,1465
567200,1465
567212,1465
567225,1465
567237,1465
567250,1465
567262,1465
567275,1465
567287,1465
567300,1465
567312,1465
567325,1465
567337,1465
567350,1465
567362,1465
567375,1465
567387,1465
567400,1465
567412,1465
