  573012.500 4207065.341    2202.600 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  573012.500 4206586.221    2477.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573012.500 4206061.569    2756.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573012.500 4205511.432    2993.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573012.500 4204556.933    3263.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573012.500 4203577.630    3545.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573012.500 4203140.304    3670.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573012.500 4202806.961    3765.800 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4207032.040    2403.800 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4206723.840    2585.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4206244.381    2773.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4205819.293    2964.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4205432.260    3101.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4204886.200    3305.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4204469.604    3422.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4203744.470    3660.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4203390.399    3743.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573262.500 4203161.370    3800.000 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4208936.282    1149.400 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4208619.589    1372.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4208411.291    1519.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4208140.472    1693.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4207978.045    1808.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4207715.381    2021.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4207261.407    2332.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4206836.316    2589.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4206453.021    2810.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4206115.597    2994.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4205757.107    3143.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4205031.976    3368.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4204594.653    3493.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4204123.687    3618.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573512.500 4203548.745    3763.200 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4209123.852    1159.200 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4208927.789    1330.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4208761.285    1482.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4208544.491    1698.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4208265.515    1945.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4207965.472    2178.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4207586.255    2457.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4207319.513    2609.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4206965.442    2776.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4206673.889    2918.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4206327.972    3011.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4205857.010    3175.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4205303.134    3322.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4204719.699    3481.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4204219.513    3633.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574012.500 4203648.986    3775.600 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4209186.377    1142.000 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4208932.205    1330.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4208678.033    1541.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4208415.368    1769.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4208132.312    1972.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4207886.297    2158.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4207357.229    2455.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4207015.390    2658.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4206423.797    2925.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4206086.377    3097.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4205344.592    3310.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4204802.948    3432.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4204261.306    3562.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4203819.568    3694.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573762.500 4203627.917    3751.000 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4209177.881    1137.200 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4208961.428    1303.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4208757.208    1497.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4208527.844    1700.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4208319.543    1891.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4208094.598    2068.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4207807.122    2259.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4207465.286    2479.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4206952.868    2753.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4206578.067    2915.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4206215.500    3045.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4205836.282    3175.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4205182.165    3356.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4204552.856    3511.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4204128.106    3633.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  573887.500 4203653.064    3790.200 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4209294.433    1132.200 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4209086.132    1245.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4208923.709    1374.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4208752.789    1519.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4208536.337    1739.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4208323.620    1984.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4208065.374    2173.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4207781.979    2349.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4207611.401    2462.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4207236.261    2680.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4206894.763    2822.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4206511.126    2962.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4206178.122    3065.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4205690.509    3209.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4205265.417    3319.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4204773.727    3462.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4204336.401    3599.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4203927.963    3719.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574137.500 4203778.112    3758.400 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4209515.301    1127.400 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4209240.405    1274.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4208982.156    1472.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4208678.033    1717.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4208369.494    1984.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4208082.364    2205.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4207807.122    2394.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4207461.206    2602.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4207023.883    2795.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4206736.413    2905.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4206361.273    3028.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4205940.600    3165.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
