fault_name,cell_i,cell_j,area_3d,cx,cy,cz,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,strike_deg,dip_deg
F01,47,20,29040.019303979156,570481.1875,4200219.0,3768.717529296875,570387.5,570550.0,4200086.0,4200275.0,3745.55859375,3790.920166015625,154.90448,78.11438
F01,47,21,52219.21315910309,570453.1875,4200424.5,3722.42578125,570387.5,570550.0,4200275.0,4200575.0,3678.508544921875,3764.426513671875,157.42743,76.31199
F01,47,22,51924.16156298444,570447.6875,4200721.5,3652.627685546875,570387.5,570550.0,4200575.0,4200875.0,3611.458251953125,3696.78759765625,163.18994,75.90786
F01,47,23,50845.32653609564,570466.75,4200991.0,3587.326416015625,570387.5,570550.0,4200875.0,4201175.0,3537.27734375,3620.758056640625,173.31747,75.46577
F01,47,24,50449.59190156724,570475.25,4201337.0,3494.5927734375,570387.5,570550.0,4201175.0,4201475.0,3457.598388671875,3540.441650390625,2.5176392,75.15425
F01,47,25,49575.44273682931,570459.25,4201605.5,3435.339599609375,570387.5,570550.0,4201475.0,4201775.0,3403.12109375,3461.80517578125,173.29944,79.53183
F01,47,26,49823.11756540077,570479.75,4201914.0,3376.355224609375,570387.5,570550.0,4201775.0,4202075.0,3340.689453125,3405.955078125,179.6781,78.0143
F01,47,27,49746.836175526405,570475.6875,4202234.5,3308.65380859375,570387.5,570550.0,4202075.0,4202375.0,3278.75537109375,3343.28662109375,178.43695,78.60198
F01,47,28,49854.61196222124,570467.125,4202492.5,3261.426025390625,570387.5,570550.0,4202375.0,4202675.0,3215.728515625,3286.281005859375,158.24133,78.57818
F01,47,29,50188.487098732105,570477.0625,4202851.5,3188.34375,570387.5,570550.0,4202675.0,4202975.0,3151.998291015625,3235.1865234375,154.23065,76.35359
F01,47,30,50352.654802889454,570472.375,4203137.0,3125.58447265625,570387.5,570550.0,4202975.0,4203275.0,3081.790283203125,3167.938720703125,150.31458,75.691895
F01,47,31,50801.32566368462,570475.125,4203408.0,3061.040771484375,570387.5,570550.0,4203275.0,4203575.0,3008.0537109375,3106.096923828125,152.68884,73.65899
F01,47,32,50504.623424081285,570490.875,4203746.5,2975.583251953125,570387.5,570550.0,4203575.0,4203875.0,2932.989990234375,3026.1357421875,158.06201,74.79083
F01,47,33,50470.116857326066,570476.0625,4204013.5,2906.688232421875,570387.5,570550.0,4203875.0,4204175.0,2858.644775390625,2948.95654296875,160.23395,74.95628
F01,47,34,50397.05686226929,570484.375,4204350.5,2823.050048828125,570387.5,570550.0,4204175.0,4204475.0,2784.516357421875,2872.147705078125,162.86572,75.34241
F01,47,35,50936.04260057828,570469.375,4204609.5,2751.743408203125,570387.5,570550.0,4204475.0,4204775.0,2696.914306640625,2795.13525390625,168.784,73.28894
F01,47,36,51948.86433415118,570473.75,4204927.5,2648.3603515625,570387.5,570550.0,4204775.0,4205075.0,2588.98779296875,2706.682373046875,179.5285,70.01401
F01,47,37,53184.81021262379,570488.8125,4205232.5,2524.1865234375,570387.5,570550.0,4205075.0,4205375.0,2461.39794921875,2597.399169921875,5.4409485,66.532555
F01,47,38,53159.029418624435,570473.75,4205520.0,2402.130859375,570387.5,570550.0,4205375.0,4205675.0,2331.085205078125,2466.479736328125,178.68958,66.77695
F01,47,39,54517.047680297386,570479.0,4205830.0,2258.130859375,570387.5,570550.0,4205675.0,4205975.0,2180.510498046875,2336.256591796875,175.67877,63.667393
F01,47,40,56588.162114629435,570479.25,4206142.0,2087.249267578125,570387.5,570550.0,4205975.0,4206275.0,2004.3350830078125,2187.527099609375,175.41797,59.556152
F01,47,41,57661.10244039295,570494.9375,4206446.5,1899.288330078125,570387.5,570550.0,4206275.0,4206575.0,1816.5069580078125,2011.767333984375,179.81366,57.40282
F01,47,42,56622.84449906446,570481.875,4206712.5,1737.5177001953125,570387.5,570550.0,4206575.0,4206875.0,1639.2908935546875,1821.3253173828125,2.9175415,59.408627
F01,47,43,56341.02048278852,570487.875,4207032.0,1550.588623046875,570387.5,570550.0,4206875.0,4207175.0,1466.5858154296875,1644.6224365234375,2.609665,59.96551
F01,47,44,56228.66153471821,570468.625,4207337.0,1374.9293212890625,570387.5,570550.0,4207175.0,4207475.0,1295.3663330078125,1470.1192626953125,0.8309326,60.115128
F01,47,45,56623.90289799692,570457.375,4207588.5,1229.5032958984375,570387.5,570550.0,4207475.0,4207775.0,1112.9012451171875,1296.8177490234375,3.6267242,59.741913
F01,47,46,13658.650728376753,570492.875,4207823.0,1117.1470947265625,570387.5,570550.0,4207775.0,4207915.0,1110.3900146484375,1128.277587890625,100.95874,86.27809
F01,48,20,37858.716699518445,570710.4375,4200223.5,3780.47265625,570550.0,570850.0,4200120.0,4200275.0,3764.426513671875,3792.60009765625,170.05234,79.42501
F01,48,21,92181.57122217769,570686.9375,4200444.0,3733.5205078125,570550.0,570850.0,4200275.0,4200575.0,3696.78759765625,3774.1044921875,169.57812,77.64539
F01,48,22,92992.13033931961,570672.0625,4200727.0,3665.75634765625,570550.0,570850.0,4200575.0,4200875.0,3620.758056640625,3712.578369140625,167.27032,75.4371
F01,48,23,93903.4616727572,570675.9375,4201012.0,3590.595703125,570550.0,570850.0,4200875.0,4201175.0,3537.274169921875,3639.528564453125,167.63467,73.58835
F01,48,24,93091.53988194892,570694.125,4201332.5,3502.42822265625,570550.0,570850.0,4201175.0,4201475.0,3461.80517578125,3555.0966796875,167.6947,75.491005
F01,48,25,91651.80670836518,570685.4375,4201652.0,3435.32763671875,570550.0,570850.0,4201475.0,4201775.0,3405.955078125,3476.230224609375,161.85562,79.14026
F01,48,26,92395.41091709913,570683.5,4201915.0,3383.940673828125,570550.0,570850.0,4201775.0,4202075.0,3340.805908203125,3425.584228515625,159.92096,77.13307
F01,48,27,92017.00379844714,570667.625,4202209.5,3321.32666015625,570550.0,570850.0,4202075.0,4202375.0,3286.281005859375,3365.04150390625,160.58606,78.57847
F01,48,28,91314.98925594683,570692.9375,4202511.0,3270.962158203125,570550.0,570850.0,4202375.0,4202675.0,3235.1865234375,3300.611572265625,163.30981,80.18697
F01,48,29,92257.07964860338,570731.375,4202857.5,3210.029296875,570550.0,570850.0,4202675.0,4202975.0,3167.938720703125,3250.90576171875,159.46121,77.46846
F01,48,30,92181.76910581489,570719.3125,4203142.5,3149.60498046875,570550.0,570850.0,4202975.0,4203275.0,3106.096923828125,3195.56884765625,158.00497,77.416046
F01,48,31,93356.10218571406,570697.5625,4203438.5,3079.99755859375,570550.0,570850.0,4203275.0,4203575.0,3026.1357421875,3130.864501953125,158.3153,74.52235
F01,48,32,93841.34007402521,570679.0625,4203724.0,3002.546630859375,570550.0,570850.0,4203575.0,4203875.0,2948.95654296875,3061.28662109375,156.45941,73.89083
F01,48,33,93423.40767480648,570687.1875,4204057.0,2915.5830078125,570550.0,570850.0,4203875.0,4204175.0,2872.147705078125,2981.357177734375,159.59619,74.50777
F01,48,34,94050.9222013473,570678.5625,4204310.5,2846.17919921875,570550.0,570850.0,4204175.0,4204475.0,2795.13525390625,2899.10205078125,168.14264,73.72464
F01,48,35,94090.53937459883,570681.625,4204641.5,2748.8349609375,570550.0,570850.0,4204475.0,4204775.0,2705.12158203125,2803.81103515625,178.39172,73.230644
F01,48,36,96785.72642172672,570675.5,4204949.5,2641.619873046875,570550.0,570850.0,4204775.0,4205075.0,2584.133544921875,2710.423828125,174.15485,68.697334
F01,48,37,97363.89110025452,570671.9375,4205213.0,2535.696044921875,570550.0,570850.0,4205075.0,4205375.0,2462.81494140625,2603.73779296875,172.16064,67.554054
F01,48,38,97726.49232314533,570706.125,4205565.5,2392.685791015625,570550.0,570850.0,4205375.0,4205675.0,2336.256591796875,2481.337890625,170.9852,67.15071
F01,48,39,100671.21098608854,570700.75,4205832.5,2268.115478515625,570550.0,570850.0,4205675.0,4205975.0,2187.527099609375,2356.271240234375,172.33038,63.55255
F01,48,40,104614.10134473657,570677.375,4206143.0,2097.110595703125,570550.0,570850.0,4205975.0,4206275.0,2011.16943359375,2207.10888671875,173.71753,59.36755
F01,48,41,108996.7641832305,570665.8125,4206418.5,1922.49560546875,570550.0,570850.0,4206275.0,4206575.0,1814.09326171875,2030.75,174.22302,56.017426
F01,48,42,104941.4528879505,570679.6875,4206740.0,1718.478271484375,570550.0,570850.0,4206575.0,4206875.0,1637.0374755859375,1827.2503662109375,179.59082,59.138718
F01,48,43,103900.96575269895,570665.1875,4207040.0,1543.105712890625,570550.0,570850.0,4206875.0,4207175.0,1463.9736328125,1639.2908935546875,0.41500854,60.069435
F01,48,44,103708.06649704896,570654.25,4207338.5,1372.210205078125,570550.0,570850.0,4207175.0,4207475.0,1285.7552490234375,1466.5858154296875,2.7958374,60.342606
F01,48,45,104777.81485624085,570663.875,4207614.0,1209.2149658203125,570550.0,570850.0,4207475.0,4207775.0,1107.800048828125,1297.66552734375,179.98273,58.914997
F01,48,46,72867.61062324188,570709.1875,4207900.0,1114.4849853515625,570550.0,570850.0,4207775.0,4208075.0,1107.900634765625,1139.163818359375,111.73859,88.39922
F01,48,47,2167.6672140652554,570811.625,4208096.0,1115.1192626953125,570773.25,570850.0,4208075.0,4208130.0,1114.7593994140625,1115.41650390625,139.28482,89.668
F01,49,20,14341.479720992646,570923.125,4200245.0,3784.96875,570850.0,571136.75,4200182.5,4200275.0,3774.1044921875,3795.97998046875,162.30862,78.3412
F01,49,21,92521.48094920452,571032.4375,4200416.0,3759.688720703125,570850.0,571150.0,4200275.0,4200575.0,3712.578369140625,3797.60009765625,157.91272,77.38627
F01,49,22,92750.75723091382,571006.0,4200729.5,3688.385498046875,570850.0,571150.0,4200575.0,4200875.0,3639.528564453125,3735.022216796875,159.98203,76.03843
F01,49,23,93662.67608044962,571013.625,4201038.0,3613.581298828125,570850.0,571150.0,4200875.0,4201175.0,3555.0966796875,3667.41552734375,155.7663,74.281296
F01,49,24,94175.90687196293,570999.9375,4201354.5,3529.652099609375,570850.0,571150.0,4201175.0,4201475.0,3476.230224609375,3597.755126953125,146.00183,73.2553
F01,49,25,92453.72119077921,571028.125,4201639.5,3472.30419921875,570850.0,571150.0,4201475.0,4201775.0,3425.584228515625,3527.419677734375,143.3732,76.65525
F01,49,26,92324.91344064994,570994.875,4201938.5,3410.4990234375,570850.0,571150.0,4201775.0,4202075.0,3365.04150390625,3460.81201171875,149.5993,77.02992
F01,49,27,92728.18906490898,571009.5625,4202252.5,3347.830078125,570850.0,571150.0,4202075.0,4202375.0,3300.611572265625,3401.58056640625,146.9751,76.06952
F01,49,28,92224.45182487724,570991.375,4202523.5,3294.299072265625,570850.0,571150.0,4202375.0,4202675.0,3250.90576171875,3343.01025390625,141.76038,77.43013
F01,49,29,92265.29426323173,570996.25,4202843.0,3238.271240234375,570850.0,571150.0,4202675.0,4202975.0,3195.56884765625,3288.955078125,145.32312,77.33995
F01,49,30,92738.74478834763,570980.0,4203147.0,3173.54833984375,570850.0,571150.0,4202975.0,4203275.0,3130.864501953125,3232.10302734375,149.51202,75.98364
F01,49,31,92917.84897087133,570965.875,4203434.5,3108.9345703125,570850.0,571150.0,4203275.0,4203575.0,3061.28662109375,3168.090087890625,150.11035,75.54357
F01,49,32,93960.92953774707,571028.375,4203703.0,3051.797607421875,570850.0,571150.0,4203575.0,4203875.0,2981.357177734375,3100.877197265625,152.73578,73.33303
F01,49,33,94781.99936218665,570979.3125,4204032.5,2954.868896484375,570850.0,571150.0,4203875.0,4204175.0,2899.10205078125,3025.68896484375,153.75403,72.43844
F01,49,34,95004.71734584219,571045.0,4204329.5,2872.43212890625,570850.0,571150.0,4204175.0,4204475.0,2803.81103515625,2936.23046875,160.09613,71.27408
F01,49,35,95142.48172669849,571010.25,4204651.0,2767.650146484375,570850.0,571150.0,4204475.0,4204775.0,2706.41748046875,2840.63818359375,154.67224,71.31625
F01,49,36,95954.00152978464,571002.8125,4204935.0,2675.3173828125,570850.0,571150.0,4204775.0,4205075.0,2603.73779296875,2751.67041015625,153.82721,69.6184
F01,49,37,97965.51498204141,571015.3125,4205252.0,2565.207275390625,570850.0,571150.0,4205075.0,4205375.0,2481.337890625,2652.66552734375,150.06491,66.74307
F01,49,38,100117.51170529262,571001.6875,4205525.5,2452.181640625,570850.0,571150.0,4205375.0,4205675.0,2356.271240234375,2550.707275390625,152.29797,63.942684
F01,49,39,102709.2934366065,571002.25,4205835.5,2306.504638671875,570850.0,571150.0,4205675.0,4205975.0,2207.10888671875,2418.365234375,157.21378,61.32668
F01,49,40,105884.29351730458,571019.1875,4206131.0,2148.170654296875,570850.0,571150.0,4205975.0,4206275.0,2030.75,2264.7880859375,159.93787,58.26796
F01,49,41,109668.40802410775,571003.875,4206419.5,1970.6109619140625,570850.0,571150.0,4206275.0,4206575.0,1827.2503662109375,2093.00390625,159.07373,55.42078
F01,49,42,111652.3213854324,571008.1875,4206722.5,1774.826904296875,570850.0,571150.0,4206575.0,4206875.0,1638.0230712890625,1914.498046875,154.91223,54.110588
F01,49,43,107284.47182145988,571013.9375,4207026.0,1582.46044921875,570850.0,571150.0,4206875.0,4207175.0,1463.845458984375,1712.9881591796875,161.54224,56.648037
F01,49,44,105646.89340578325,571014.0625,4207355.0,1382.838134765625,570850.0,571150.0,4207175.0,4207475.0,1283.6053466796875,1512.578857421875,161.702,58.408894
F01,49,45,100809.79845279365,570991.3125,4207622.5,1242.5079345703125,570850.0,571150.0,4207475.0,4207775.0,1139.163818359375,1341.578369140625,153.03845,63.132393
F01,49,46,94941.85066772951,571013.9375,4207919.0,1136.47314453125,570850.0,571150.0,4207775.0,4208075.0,1109.8399658203125,1213.163330078125,148.40659,73.219505
F01,49,47,49074.47375671029,571022.125,4208177.5,1114.4964599609375,570850.0,571150.0,4208075.0,4208345.0,1112.934814453125,1115.5570068359375,141.40842,89.45926
F01,50,21,75336.082358613,571310.5625,4200448.5,3768.307373046875,571150.0,571450.0,4200279.5,4200575.0,3735.022216796875,3796.985107421875,172.99997,79.31423
F01,50,22,92449.1255248207,571326.0,4200721.5,3712.1064453125,571150.0,571450.0,4200575.0,4200875.0,3667.41552734375,3748.5849609375,166.26843,77.03786
F01,50,23,92272.45291100035,571326.3125,4201044.5,3640.1552734375,571150.0,571450.0,4200875.0,4201175.0,3597.755126953125,3684.791748046875,161.92065,77.282394
F01,50,24,92449.14044557237,571342.625,4201350.5,3585.352294921875,571150.0,571450.0,4201175.0,4201475.0,3527.41943359375,3624.015380859375,146.25864,78.13382
F01,50,25,94145.83765758712,571307.6875,4201629.0,3521.04296875,571150.0,571450.0,4201475.0,4201775.0,3460.81201171875,3576.298828125,141.27277,73.53534
F01,50,26,93025.35602899182,571318.75,4201912.0,3459.07373046875,571150.0,571450.0,4201775.0,4202075.0,3401.58056640625,3514.081298828125,142.89911,75.354195
F01,50,27,92675.27205823705,571323.3125,4202261.0,3387.873046875,571150.0,571450.0,4202075.0,4202375.0,3343.01025390625,3444.821533203125,147.78333,76.153305
F01,50,28,92314.43346379971,571339.0625,4202550.5,3330.220703125,571150.0,571450.0,4202375.0,4202675.0,3288.955078125,3378.95166015625,151.27368,77.00991
F01,50,29,91855.55139497634,571327.875,4202836.0,3273.56982421875,571150.0,571450.0,4202675.0,4202975.0,3232.10302734375,3316.25048828125,157.87225,78.225395
F01,50,30,92124.61028875322,571345.0625,4203150.5,3215.567626953125,571150.0,571450.0,4202975.0,4203275.0,3168.090087890625,3255.686767578125,154.0069,78.223045
F01,50,31,92948.74533534609,571315.1875,4203413.5,3157.658203125,571150.0,571450.0,4203275.0,4203575.0,3100.877197265625,3201.570556640625,152.00867,75.73038
F01,50,32,93135.74167652408,571278.25,4203689.5,3089.377197265625,571150.0,571450.0,4203575.0,4203875.0,3025.68896484375,3136.728515625,152.3974,75.11762
F01,50,33,94946.16899954452,571326.25,4204041.0,3005.44873046875,571150.0,571450.0,4203875.0,4204175.0,2936.23046875,3067.915771484375,152.422,71.83621
F01,50,34,95466.77155570233,571293.375,4204320.0,2911.094482421875,571150.0,571450.0,4204175.0,4204475.0,2840.63818359375,2983.964599609375,154.77661,70.33844
F01,50,35,94740.83885535163,571349.75,4204659.5,2823.6396484375,571150.0,571450.0,4204475.0,4204775.0,2751.67041015625,2886.450439453125,147.67657,72.452255
F01,50,36,96888.07202358231,571334.375,4204902.0,2744.52587890625,571150.0,571450.0,4204775.0,4205075.0,2652.66552734375,2807.09912109375,153.43115,68.07379
F01,50,37,96440.3012204649,571341.375,4205253.0,2618.91259765625,571150.0,571450.0,4205075.0,4205375.0,2550.707275390625,2700.39208984375,158.63184,68.75264
F01,50,38,98203.00810014736,571316.625,4205502.5,2519.082275390625,571150.0,571450.0,4205375.0,4205675.0,2418.365234375,2586.094970703125,162.8244,66.649445
F01,50,39,100894.30656497861,571333.1875,4205817.5,2384.345947265625,571150.0,571450.0,4205675.0,4205975.0,2264.7880859375,2464.497802734375,158.61887,63.588093
F01,50,40,106032.55388584241,571332.0625,4206115.0,2233.816650390625,571150.0,571450.0,4205975.0,4206275.0,2093.00390625,2329.585693359375,155.17426,58.6857
F01,50,41,108981.02965627848,571331.625,4206424.5,2053.377685546875,571150.0,571450.0,4206275.0,4206575.0,1914.498046875,2174.3955078125,156.35785,55.900402
F01,50,42,111564.07163269904,571339.5625,4206732.0,1852.211181640625,571150.0,571450.0,4206575.0,4206875.0,1712.9881591796875,1991.4951171875,163.36725,53.51702
F01,50,43,108748.30704341276,571347.75,4207013.5,1667.6383056640625,571150.0,571450.0,4206875.0,4207175.0,1512.578857421875,1779.0831298828125,157.63278,57.108658
